model_save_path,_step,_wandb,_runtime,validacc,validauc,_timestamp,best_epoch,fold,seed,dropout,emb_size,emb_type,save_dir,model_name,dataset_name,learning_rate,name,path_id,state,create_time
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.5_64_0.001_1_1_c495d790-6b51-4f78-adf7-2795ccd553cc/qid_model.ckpt,0,{'runtime': 53},54.415562868118286,0.960428569297552,0.9906534400730088,1689591269.581415,12,4,3407,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,earnest-sweep-38,1kny7e7p,finished,1689591269.581415
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.5_64_0.001_1_1_20168cc3-61a5-4654-9e56-765ec0f453ca/qid_model.ckpt,0,{'runtime': 59},60.55506086349487,0.9604658621358354,0.991059515166642,1689591202.4506288,15,4,42,0.5,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,giddy-sweep-37,9qa42rxr,finished,1689591202.4506288
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.3_256_1e-05_1_1_eff533bd-4add-42ba-8fe3-174dbce13d5e/qid_model.ckpt,0,{'runtime': 325},326.2531225681305,0.9558601966078434,0.9879282339271652,1689591128.4078703,104,4,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,lilac-sweep-36,exn4msw8,finished,1689591128.4078703
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.3_256_1e-05_1_1_5f64aae1-3185-44fe-aa34-f8dc8968045d/qid_model.ckpt,0,{'runtime': 322},323.49206495285034,0.9554238703999284,0.9877942525359632,1689590782.302819,103,4,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,young-sweep-35,dxtfuxbq,finished,1689590782.302819
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.3_256_0.0001_1_1_548ad37f-ee64-4590-93f0-c331d910c4a1/qid_model.ckpt,0,{'runtime': 100},101.02099514007568,0.9608238733833556,0.9910493704657624,1689590446.182188,23,4,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,grateful-sweep-34,i7cina86,finished,1689590446.182188
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.3_256_0.0001_1_1_e45bdae6-7306-463f-bbfe-03b04d2b66c4/qid_model.ckpt,0,{'runtime': 91},92.513245344162,0.9600668287662038,0.9906878124596166,1689590327.7491014,20,4,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.0001,tough-sweep-33,tzl2th7h,finished,1689590327.7491014
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.3_256_0.001_1_1_1df080ba-88bc-476a-8aae-ff24a558d6b2/qid_model.ckpt,0,{'runtime': 62},63.60399436950683,0.9629122723272224,0.9920243302078594,1689590220.8108065,10,4,3407,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,helpful-sweep-32,ykzbtnb1,finished,1689590220.8108065
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.3_256_0.001_1_1_1f6957c7-ebf2-4232-8210-be0e32723240/qid_model.ckpt,0,{'runtime': 58},59.47850751876831,0.9625990124856424,0.9920099029364412,1689590139.1779125,8,4,42,0.3,256,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,0.001,exalted-sweep-31,yf1piuto,finished,1689590139.1779125
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_3407_4_0.3_64_1e-05_1_1_e0bb93c2-d698-4311-adfb-d0f0f7dc1f85/qid_model.ckpt,0,{'runtime': 128},129.38435435295105,0.8606068290645464,0.91299582499916,1689590062.0765064,48,4,3407,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,woven-sweep-30,028pqubl,finished,1689590062.0765064
/scratch/work/koutchc1/experiments/pykt/models/dkt/falconcode_2_2_dkt_qid_42_4_0.3_64_1e-05_1_1_cb5ff19f-83f0-441e-9bb9-8505e107f244/qid_model.ckpt,0,{'runtime': 129},130.39662981033325,0.8604688455628982,0.9181189423632166,1689589917.7700715,49,4,42,0.3,64,qid,/scratch/work/koutchc1/experiments/pykt/models/dkt,dkt,falconcode_2_2,1e-05,crimson-sweep-29,h5x6z9eg,finished,1689589917.7700715
