d_ff,fold,seed,d_model,dropout,emb_type,n_blocks,save_dir,model_name,dataset_name,learning_rate,num_attn_heads,name,path_id,state,_timestamp,best_epoch,model_save_path,_step,_wandb,_runtime,validacc,validauc,create_time
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,driven-sweep-17,xgfq84k5,finished,1689598112.917873,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_2_0.001_1_1_4e9fc945-f4df-4f15-a80c-4a17f9ad426c/qid_model.ckpt,0.0,{'runtime': 246},246.73716378211975,0.9625393439443888,0.992210010296064,1689598112.917873
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,efficient-sweep-16,svp8brob,finished,1689597846.9342496,5.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_8_2_0.001_1_1_de8e0ff7-46c3-4bfd-b44d-435219d4677c/qid_model.ckpt,0.0,{'runtime': 246},247.2749376296997,0.9625393439443888,0.992210010296064,1689597846.9342496
256,4,42,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,earnest-sweep-15,sgaqtvtt,finished,1689597583.0776863,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_42_4_0.1_256_256_8_2_0.001_1_1_5f6a7716-c696-47e9-a8e4-20177b770d44/qid_model.ckpt,0.0,{'runtime': 197},197.78197240829468,0.9604658621358354,0.9913138070146,1689597583.0776863
256,4,3407,256,0.05,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,4,sunny-sweep-14,z0mzhzp6,finished,1689597367.884823,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.05_256_256_4_2_0.001_1_1_1b2e19c3-5859-4fe3-bd25-312c9e0759e9/qid_model.ckpt,0.0,{'runtime': 164},165.53968811035156,0.959533541178752,0.9915948846928768,1689597367.884823
256,4,3407,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,iconic-sweep-13,4kn1a3d7,finished,1689597186.489104,10.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.1_256_256_8_2_0.001_1_1_49ebc815-d8ad-4c84-8e05-2381a4d8fec1/qid_model.ckpt,0.0,{'runtime': 323},326.10600996017456,0.9622260841028089,0.9918317807106528,1689597186.489104
256,4,3407,256,0.1,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,fluent-sweep-12,vvfliavg,finished,1689596843.77697,2.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.1_256_256_8_4_0.001_1_1_ba3227ab-958c-4840-ae1b-81c3616d8cfa/qid_model.ckpt,0.0,{'runtime': 354},355.2241470813751,0.959913928129242,0.9914442361921088,1689596843.77697
256,4,3407,256,0.3,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,true-sweep-11,2qsk5pi8,finished,1689596474.3786194,7.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.3_256_256_8_2_0.001_1_1_bb1389d8-580f-4238-ab4a-28e205b4630a/qid_model.ckpt,0.0,{'runtime': 276},277.4189953804016,0.9614466637826872,0.992043579406833,1689596474.3786194
256,4,3407,256,0.3,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,worldly-sweep-10,fhfp6seh,finished,1689596180.5199263,7.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.3_256_256_8_2_0.001_1_1_25a9f450-4b97-484d-9c54-2f5a5e74b118/qid_model.ckpt,0.0,{'runtime': 275},275.9523034095764,0.9614466637826872,0.992043579406833,1689596180.5199263
256,4,3407,256,0.3,qid,4,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.0001,8,dandy-sweep-9,24g9sc9v,finished,1689595889.1676435,12.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.3_256_256_8_4_0.0001_1_1_abfbfff4-9c52-46b2-a7d0-1d36e50a2dae/qid_model.ckpt,0.0,{'runtime': 644},645.1144015789032,0.9617487357727822,0.9919636259447674,1689595889.1676435
256,4,3407,256,0.1,qid,2,/scratch/work/koutchc1/experiments/pykt/models/akt,akt,falconcode_2_2,0.001,8,expert-sweep-8,awfamtj2,finished,1689595229.6824331,10.0,/scratch/work/koutchc1/experiments/pykt/models/akt/falconcode_2_2_akt_qid_3407_4_0.1_256_256_8_2_0.001_1_1_d4ca3661-67aa-4b3d-ac68-87c48a798934/qid_model.ckpt,0.0,{'runtime': 323},324.1241180896759,0.9622260841028089,0.9918317807106528,1689595229.6824331
